,Unnamed: 0.1,Unnamed: 0,时间,电解电压,电解电流,产氢量,产氢累计量,碱液流量,碱温,系统压力  ,氧槽温,氢槽温,氧侧液位,氢侧液位,氧中氢,氢中氧,脱氧上温,脱氧下温,B塔上温,B塔下温,C塔上温,C塔下温,A塔上温,A塔下温,露点,微氧量,出罐压力,进罐温度,进罐压力
906,906,906,2021年10月07日14时02分00秒,68.2702865600586,1700.69775390625,-9999,-9999,1.3939894437789917,59.7869987487793,0.9740237593650818,86.08152770996094,83.58428192138672,15.23304557800293,15.137411117553713,0.6845391392707825,0.1615864783525467,117.07675170898438,121.04296875,318.2519226074219,38.78075408935547,19.684171676635746,19.09658432006836,20.565553665161133,22.03452110290528,-75.53433990478516,0.0,-9999,-9999,-9999
907,907,907,2021年10月07日14时02分20秒,68.22132110595703,1700.69775390625,-9999,-9999,1.3939894437789917,59.64010238647461,1.027690052986145,86.08152770996094,83.8780746459961,14.850502014160156,15.366936683654783,0.6820908188819885,0.160607174038887,116.782958984375,121.33676147460938,315.90155029296875,38.78075408935547,19.97796440124512,19.09658432006836,20.565553665161133,22.03452110290528,-75.45599365234375,0.0,-9999,-9999,-9999
908,908,908,2021年10月07日14时02分40秒,68.22132110595703,1699.228759765625,-9999,-9999,1.3927652835845947,59.7869987487793,1.011237621307373,86.08152770996094,83.8780746459961,15.23304557800293,14.946137428283691,0.6850287914276123,0.1615864783525467,117.07675170898438,121.33676147460938,313.11053466796875,38.63385772705078,19.97796440124512,19.09658432006836,20.565553665161133,22.03452110290528,-75.59309387207031,0.0,-9999,-9999,-9999
909,909,909,2021年10月07日14时03分00秒,68.2702865600586,1702.9012451171875,-9999,-9999,1.3939894437789917,59.64010238647461,0.9740237593650818,85.78773498535156,83.8780746459961,15.290428161621094,14.984393119812012,0.6820908188819885,0.1704002916812896,116.782958984375,121.33676147460938,310.4664001464844,38.78075408935547,19.684171676635746,19.09658432006836,20.565553665161133,22.03452110290528,-75.53433990478516,0.0,-9999,-9999,-9999
910,910,910,2021年10月07日14时03分20秒,68.2702865600586,1698.494384765625,-9999,-9999,1.3939894437789917,59.7869987487793,0.9798995852470398,86.08152770996094,83.43738555908203,15.003520011901855,15.23304557800293,0.6845391392707825,0.1713796108961105,116.63606262207033,121.48365783691406,307.5284729003906,39.07455062866211,19.97796440124512,19.09658432006836,20.71245002746582,21.7407283782959,-75.53433990478516,0.0,-9999,-9999,-9999
911,911,911,2021年10月07日14时03分40秒,68.19683837890625,1698.494384765625,-9999,-9999,1.3939894437789917,59.7869987487793,1.0229893922805786,85.78773498535156,83.58428192138672,14.88875675201416,15.175663948059082,0.6874770522117615,0.1713796108961105,116.782958984375,121.48365783691406,304.59051513671875,39.07455062866211,20.12486267089844,19.09658432006836,20.27175712585449,22.03452110290528,-75.49516296386719,0.0,-9999,-9999,-9999
912,912,912,2021年10月07日14时04分00秒,68.2702865600586,1698.494384765625,-9999,-9999,1.3939894437789917,59.64010238647461,1.021814227104187,85.78773498535156,83.8780746459961,15.175663948059082,14.86962890625,0.6771942973136902,0.1713796108961105,116.63606262207033,122.07125091552734,301.3587951660156,38.78075408935547,20.12486267089844,19.09658432006836,20.565553665161133,21.7407283782959,-75.49516296386719,0.0,-9999,-9999,-9999
913,913,913,2021年10月07日14时04分20秒,68.22132110595703,1699.228759765625,-9999,-9999,1.3939894437789917,60.08079528808594,0.9928265810012816,86.08152770996094,83.8780746459961,15.137411117553713,15.04177474975586,0.6801322102546692,0.1713796108961105,116.63606262207033,122.07125091552734,298.347412109375,39.36834335327149,19.97796440124512,19.09658432006836,20.565553665161133,22.03452110290528,-75.45599365234375,0.0,-9999,-9999,-9999
914,914,914,2021年10月07日14时04分40秒,68.22132110595703,1700.69775390625,-9999,-9999,1.3927652835845947,60.08079528808594,0.9798995852470398,86.08152770996094,83.58428192138672,15.290428161621094,14.946137428283691,0.6811115145683289,0.1704002916812896,116.34226989746094,122.21814727783205,295.1156921386719,39.07455062866211,19.97796440124512,19.09658432006836,20.565553665161133,22.18141746520996,-75.45599365234375,0.0,-9999,-9999,-9999
915,915,915,2021年10月07日14时05分00秒,68.2702865600586,1699.228759765625,-9999,-9999,1.3927652835845947,60.08079528808594,0.9724568724632264,86.08152770996094,83.8780746459961,15.099154472351074,15.194791793823242,0.683559775352478,0.1713796108961105,116.34226989746094,122.21814727783205,291.737060546875,39.51524353027344,20.12486267089844,19.09658432006836,20.71245002746582,21.7407283782959,-75.65185546875,0.0,-9999,-9999,-9999
916,916,916,2021年10月07日14时05分20秒,68.19683837890625,1702.1666259765625,-9999,-9999,1.3939894437789917,59.7869987487793,0.998310685157776,86.08152770996094,83.8780746459961,14.984393119812012,15.271300315856934,0.6869874000549316,0.1713796108961105,116.63606262207033,122.51193237304688,288.2115173339844,39.51524353027344,19.97796440124512,19.09658432006836,20.565553665161133,22.03452110290528,-75.55392456054688,0.0,-9999,-9999,-9999
917,917,917,2021年10月07日14时05分40秒,68.19683837890625,1699.228759765625,-9999,-9999,1.3927652835845947,59.64010238647461,1.0171135663986206,85.78773498535156,83.58428192138672,14.907883644104004,15.290428161621094,0.6825804710388184,0.1713796108961105,116.34226989746094,122.51193237304688,285.2735900878906,40.10282897949219,20.12486267089844,19.09658432006836,20.27175712585449,22.03452110290528,-75.65185546875,0.0,-9999,-9999,-9999
918,918,918,2021年10月07日14时06分00秒,68.22132110595703,1698.494384765625,-9999,-9999,1.3927652835845947,59.7869987487793,1.030432105064392,86.08152770996094,83.43738555908203,15.099154472351074,15.137411117553713,0.683559775352478,0.1713796108961105,116.04846954345705,122.51193237304688,282.0418701171875,40.10282897949219,20.12486267089844,19.09658432006836,20.565553665161133,22.18141746520996,-75.43640899658203,0.0,-9999,-9999,-9999
919,919,919,2021年10月07日14时06分20秒,68.19683837890625,1697.025390625,-9999,-9999,1.3927652835845947,60.08079528808594,1.008495569229126,86.08152770996094,83.43738555908203,15.290428161621094,15.04177474975586,0.6845391392707825,0.1713796108961105,116.34226989746094,122.51193237304688,279.1039428710937,40.10282897949219,20.41865539550781,19.09658432006836,20.565553665161133,22.18141746520996,-75.45599365234375,0.0,-9999,-9999,-9999
920,920,920,2021年10月07日14时06分40秒,68.22132110595703,1698.494384765625,-9999,-9999,1.3927652835845947,60.08079528808594,0.99008446931839,85.78773498535156,83.58428192138672,15.424318313598633,15.04177474975586,0.683559775352478,0.1713796108961105,116.34226989746094,122.51193237304688,276.1659851074219,40.24972534179688,20.12486267089844,19.39037704467773,20.27175712585449,22.18141746520996,-75.65185546875,0.0,-9999,-9999,-9999
921,921,921,2021年10月07日14时07分00秒,68.22132110595703,1697.025390625,-9999,-9999,1.3927652835845947,60.08079528808594,0.9720651507377625,86.08152770996094,83.8780746459961,15.519953727722168,15.099154472351074,0.6811115145683289,0.1713796108961105,115.90158081054688,122.51193237304688,273.2280578613281,40.24972534179688,20.12486267089844,19.09658432006836,20.27175712585449,22.18141746520996,-75.43640899658203,0.0,-9999,-9999,-9999
922,922,922,2021年10月07日14时07分20秒,68.22132110595703,1697.025390625,-9999,-9999,1.3927652835845947,59.7869987487793,0.981858253479004,86.08152770996094,83.43738555908203,15.137411117553713,15.519953727722168,0.6845391392707825,0.1713796108961105,115.90158081054688,122.80572509765624,271.02459716796875,40.10282897949219,20.12486267089844,19.09658432006836,20.27175712585449,22.18141746520996,-75.45599365234375,0.0,-9999,-9999,-9999
923,923,923,2021年10月07日14时07分40秒,68.19683837890625,1698.494384765625,-9999,-9999,1.3927652835845947,60.08079528808594,1.021814227104187,86.08152770996094,83.8780746459961,15.137411117553713,15.424318313598633,0.6737666726112366,0.1713796108961105,115.6077880859375,122.80572509765624,269.2618408203125,40.24972534179688,20.12486267089844,19.09658432006836,20.565553665161133,22.475210189819336,-75.43640899658203,0.0,-9999,-9999,-9999
924,924,924,2021年10月07日14时08分00秒,68.14787292480469,1698.494384765625,-9999,-9999,1.3927652835845947,60.08079528808594,1.0265148878097534,86.08152770996094,83.43738555908203,15.290428161621094,15.271300315856934,0.6820908188819885,0.1713796108961105,115.6077880859375,122.80572509765624,268.52734375,40.54351425170898,20.12486267089844,19.09658432006836,20.27175712585449,22.475210189819336,-75.63227081298828,0.0,-9999,-9999,-9999
925,925,925,2021年10月07日14时08分20秒,68.19683837890625,1695.5562744140625,-9999,-9999,1.3927652835845947,59.7869987487793,1.008103847503662,85.78773498535156,83.8780746459961,15.462573051452637,15.271300315856934,0.6762149333953857,0.1713796108961105,115.90158081054688,122.51193237304688,268.52734375,40.54351425170898,20.41865539550781,19.09658432006836,20.565553665161133,22.475210189819336,-75.59309387207031,0.0,-9999,-9999,-9999
926,926,926,2021年10月07日14时08分40秒,68.22132110595703,1702.9012451171875,-9999,-9999,1.392153263092041,59.7869987487793,0.9936100244522096,86.08152770996094,83.8780746459961,15.558207511901855,15.271300315856934,0.67768394947052,0.1704002916812896,116.04846954345705,122.51193237304688,269.5556335449219,40.10282897949219,20.12486267089844,19.09658432006836,20.565553665161133,22.769004821777344,-75.65185546875,0.0,-9999,-9999,-9999
927,927,927,2021年10月07日14时09分00秒,68.2702865600586,1697.025390625,-9999,-9999,1.3927652835845947,59.7869987487793,0.9798995852470398,85.78773498535156,83.43738555908203,15.577335357666016,15.32868194580078,0.67768394947052,0.1713796108961105,116.04846954345705,122.51193237304688,271.31842041015625,40.54351425170898,20.12486267089844,19.09658432006836,20.565553665161133,22.475210189819336,-75.53433990478516,0.0,-9999,-9999,-9999
928,928,928,2021年10月07日14时09分20秒,68.22132110595703,1698.494384765625,-9999,-9999,1.392153263092041,59.64010238647461,0.9697147607803344,86.08152770996094,83.8780746459961,15.653843879699709,15.366936683654783,0.6820908188819885,0.1713796108961105,115.90158081054688,122.80572509765624,273.2280578613281,40.54351425170898,19.97796440124512,19.09658432006836,20.565553665161133,22.475210189819336,-75.63227081298828,0.0,-9999,-9999,-9999
929,929,929,2021年10月07日14时09分40秒,68.22132110595703,1700.69775390625,-9999,-9999,1.3927652835845947,59.7869987487793,1.004186511039734,85.78773498535156,83.58428192138672,15.08002758026123,15.845115661621094,0.67768394947052,0.1713796108961105,115.90158081054688,122.80572509765624,276.45977783203125,40.837310791015625,20.12486267089844,19.39037704467773,20.565553665161133,22.769004821777344,-75.53433990478516,0.0,-9999,-9999,-9999
930,930,930,2021年10月07日14时10分00秒,68.19683837890625,1699.228759765625,-9999,-9999,1.392153263092041,59.346309661865234,1.0363080501556396,85.78773498535156,83.43738555908203,15.577335357666016,15.23304557800293,0.6796425580978394,0.1704002916812896,115.90158081054688,122.95262145996094,280.4259948730469,40.54351425170898,20.41865539550781,19.09658432006836,20.565553665161133,22.769004821777344,-75.53433990478516,0.0,-9999,-9999,-9999
931,931,931,2021年10月07日14时10分20秒,68.22132110595703,1702.1666259765625,-9999,-9999,1.3927652835845947,60.08079528808594,0.9861672520637512,85.78773498535156,83.8780746459961,15.653843879699709,15.519953727722168,0.6820908188819885,0.1713796108961105,116.04846954345705,122.80572509765624,284.5390930175781,40.837310791015625,20.12486267089844,19.09658432006836,20.565553665161133,22.769004821777344,-75.63227081298828,0.0,-9999,-9999,-9999
932,932,932,2021年10月07日14时10分40秒,68.22132110595703,1700.69775390625,-9999,-9999,1.3927652835845947,59.7869987487793,0.9759823679924012,85.78773498535156,83.58428192138672,15.67297077178955,15.519953727722168,0.6904149651527405,0.1704002916812896,116.04846954345705,122.80572509765624,289.23980712890625,40.837310791015625,19.97796440124512,19.09658432006836,20.565553665161133,22.769004821777344,-75.55392456054688,0.0,-9999,-9999,-9999
933,933,933,2021年10月07日14时11分00秒,68.22132110595703,1700.69775390625,-9999,-9999,1.392153263092041,59.64010238647461,0.9947851300239564,85.78773498535156,83.58428192138672,15.424318313598633,15.80686092376709,0.6884563565254211,0.1704002916812896,116.04846954345705,122.80572509765624,294.3811950683594,41.131107330322266,20.12486267089844,19.39037704467773,20.565553665161133,22.769004821777344,-75.53433990478516,0.0,-9999,-9999,-9999
934,934,934,2021年10月07日14时11分20秒,68.14787292480469,1699.228759765625,-9999,-9999,1.3927652835845947,59.64010238647461,1.0225976705551147,85.49393463134766,83.8780746459961,15.424318313598633,15.768607139587402,0.6909046173095703,0.1713796108961105,116.04846954345705,122.80572509765624,299.5225830078125,40.837310791015625,20.41865539550781,19.39037704467773,20.27175712585449,22.769004821777344,-75.59309387207031,0.0,-9999,-9999,-9999
